name,department,url,text_id
"Andrew Allen, badge #37",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/1462/attachments/original/1638637610/RCA-2021-01206_-_Legal_settlement_Workers'_Compensation_claim_of_Andrew_Allen.pdf?1638637610,0
"Guled Abdullahi, badge #706",Hennepin County Sheriff's Department,https://assets.nationbuilder.com/cuapb/pages/1473/attachments/original/1671254309/20211221_Abdullahi.pdf?1671254309,1
"Dean V. Albers, badge #None",Goodhue County Sheriff's Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618004460/Jenson_v._Craft__Civil_No._01-1488%28DSD_JMM%29___Casetext_Search___Citator.pdf?1618004460,2
"Scott Aikins, badge #22",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1626647366/United_States_v._Diriye__Case_No._14-cr-236%281%29_%28JNE_TNL%29___Casetext_Search___Citator.pdf?1626647366,3
"Matthew Aish, badge #None",Columbia Heights Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1632189461/2020-Matthew_Aish-Columbia_Heights.pdf?1632189461,4
"Vincent A. Adams, badge #720505",St. Paul Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1615680108/2018_Prosecutors__St._Paul_cops_justified_in_killing_man_in_August___MPR_News.pdf?1615680108,5
"Matthew A. Jones, badge #327630",St. Paul Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1615680108/2018_Prosecutors__St._Paul_cops_justified_in_killing_man_in_August___MPR_News.pdf?1615680108,5
"Philip Alejandrino, badge #29",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Carlos Baires Escobar, badge #275",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Aaron Collins, badge #1259",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
